full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
A. Donald McEachin,Representative,McEachin,Virginia,Democratic,House,2017,2020,0
"A. Drew, IV Ferguson",Representative,Ferguson,Georgia,Republican,House,2017,2020,1
Aaron Schock,Representative,Schock,Illinois,Republican,House,2009,2015,2
Abby Finkenauer,Representative,Finkenauer,Iowa,Democratic,House,2019,2020,3
Abigail Davis Spanberger,Representative,Spanberger,Virginia,Democratic,House,2019,2020,4
Adam B. Schiff,Representative,Schiff,California,Democratic,House,2001,2020,5
Adam H. Putnam,Representative,Putnam,Florida,Republican,House,2001,2011,6
Adam Kinzinger,Representative,Kinzinger,Illinois,Republican,House,2011,2020,7
Adam Smith,Representative,Smith,Washington,Democratic,House,1997,2020,8
Adrian Smith,Representative,Smith,Nebraska,Republican,House,2007,2020,9
Adriano Espaillat,Representative,Espaillat,New York,Democratic,House,2017,2020,10
Al Franken,Senator,Franken,Minnesota,Democratic,Senate,2009,2018,11
Al Green,Representative,Green,Texas,Democratic,House,2005,2020,12
Al Swift,Representative,Swift,Washington,Democratic,House,1979,1995,13
"Al, Jr. Lawson",Representative,Lawson,Florida,Democratic,House,2017,2020,14
Alan B. Mollohan,Representative,Mollohan,West Virginia,Democratic,House,1983,2011,15
Alan Cranston,Senator,Cranston,California,Democratic,Senate,1969,1993,16
Alan Grayson,Representative,Grayson,Florida,Democratic,House,2009,2017,17
Alan J. Dixon,Senator,Dixon,Illinois,Democratic,Senate,1981,1993,18
Alan K. Simpson,Senator,Simpson,Wyoming,Republican,Senate,1979,1997,19
Alan Nunnelee,Representative,Nunnelee,Mississippi,Republican,House,2011,2015,20
Alan S. Lowenthal,Representative,Lowenthal,California,Democratic,House,2013,2020,21
Alan Wheat,Representative,Wheat,Missouri,Democratic,House,1983,1995,22
Albert G. Bustamante,Representative,Bustamante,Texas,Democratic,House,1985,1993,23
Albert Russell Wynn,Representative,Wynn,Maryland,Democratic,House,1993,2008,24
"Albert, Jr. Gore",Senator,Gore,Tennessee,Democratic,House,1977,1985,25
"Albert, Jr. Gore",Senator,Gore,Tennessee,Democratic,Senate,1985,1993,26
Albio Sires,Representative,Sires,New Jersey,Democratic,House,2005,2020,27
Alcee L. Hastings,Representative,Hastings,Florida,Democratic,House,1993,2020,28
Alexander X. Mooney,Representative,Mooney,West Virginia,Republican,House,2015,2020,29
Alexandria Ocasio-Cortez,Representative,Ocasio-Cortez,New York,Democratic,House,2019,2020,30
Alfonse D'Amato,Senator,D'Amato,New York,Republican,Senate,1981,1999,31
Alfred A. (Al) McCandless,Representative,McCandless,California,Republican,House,1983,1995,32
Allen B. West,Representative,West,Florida,Republican,House,2011,2013,33
Allen Boyd,Representative,Boyd,Florida,Democratic,House,1997,2011,34
Allyson Y. Schwartz,Representative,Schwartz,Pennsylvania,Democratic,House,2005,2015,35
Alma S. Adams,Representative,Adams,North Carolina,Democratic,House,2014,2020,36
Ami Bera,Representative,Bera,California,Democratic,House,2013,2020,37
Amo Houghton,Representative,Houghton,New York,Republican,House,1987,2005,38
Amy Klobuchar,Senator,Klobuchar,Minnesota,Democratic,Senate,2007,2020,39
Ander Crenshaw,Representative,Crenshaw,Florida,Republican,House,2001,2017,40
Andre Carson,Representative,Carson,Indiana,Democratic,House,2008,2020,41
Andrea H. Seastrand,Representative,Seastrand,California,Republican,House,1995,1997,42
Andrew P. Ireland,Representative,Ireland,Florida,Republican,House,1977,1993,43
"Andrew, Jr. Jacobs",Representative,Jacobs,Indiana,Democratic,House,1965,1997,44
Andy Barr,Representative,Barr,Kentucky,Republican,House,2013,2020,45
Andy Biggs,Representative,Biggs,Arizona,Republican,House,2017,2020,46
Andy Harris,Representative,Harris,Maryland,Republican,House,2011,2020,47
Andy Kim,Representative,Kim,New Jersey,Democratic,House,2019,2020,48
Andy Levin,Representative,Levin,Michigan,Democratic,House,2019,2020,49
Angie Craig,Representative,Craig,Minnesota,Democratic,House,2019,2020,50
"Angus S., Jr. King",Senator,King,Maine,Independent,Senate,2013,2020,51
"Anh ""Joseph"" Cao",Representative,Cao,Louisiana,Republican,House,2009,2011,52
Anibal Acevedo-Vila,Resident Commissioner,Acevedo-Vila,Puerto Rico,Democratic,House,2001,2005,53
Ann Kirkpatrick,Representative,Kirkpatrick,Arizona,Democratic,House,2009,2017,54
Ann M. Kuster,Representative,Kuster,New Hampshire,Democratic,House,2013,2020,55
Ann Marie Buerkle,Representative,Buerkle,New York,Republican,House,2011,2013,56
Ann Wagner,Representative,Wagner,Missouri,Republican,House,2013,2020,57
Anna G. Eshoo,Representative,Eshoo,California,Democratic,House,1993,2020,58
Anne M. Northup,Representative,Northup,Kentucky,Republican,House,1997,2007,59
Anthony Brindisi,Representative,Brindisi,New York,Democratic,House,2019,2020,60
Anthony C. Beilenson,Representative,Beilenson,California,Democratic,House,1977,1997,61
Anthony D. Weiner,Representative,Weiner,New York,Democratic,House,1999,2011,62
Anthony G. Brown,Representative,Brown,Maryland,Democratic,House,2017,2020,63
Anthony Gonzalez,Representative,Gonzalez,Ohio,Republican,House,2019,2020,64
Anthony Lee Coelho,Representative,Coelho,California,Democratic,House,1979,1991,65
Antonio Colorado,Resident Commissioner,Colorado,Puerto Rico,Democratic,House,1991,1993,66
Antonio Delgado,Representative,Delgado,New York,Democratic,House,2019,2020,67
Arlan Stangeland,Representative,Stangeland,Minnesota,Republican,House,1977,1991,68
Arlen Specter,Senator,Specter,Pennsylvania,Democratic,Senate,1981,2011,69
"Arthur, Jr. Ravenel",Representative,Ravenel,South Carolina,Republican,House,1987,1995,70
Artur Davis,Representative,Davis,Alabama,Democratic,House,2003,2011,71
Asa Hutchinson,Representative,Hutchinson,Arkansas,Republican,House,1997,2001,72
Augustus F. Hawkins,Representative,Hawkins,California,Democratic,House,1963,1991,73
Aumua Amata Coleman Radewagen,Delegate,Radewagen,American Samoa,Republican,House,2015,2020,74
Austin J. Murphy,Representative,Murphy,Pennsylvania,Democratic,House,1977,1995,75
Austin Scott,Representative,Scott,Georgia,Republican,House,2011,2020,76
Ayanna Pressley,Representative,Pressley,Massachusetts,Democratic,House,2019,2020,77
Barack Obama,Senator,Obama,Illinois,Democratic,Senate,2005,2008,78
Barbara A. Mikulski,Senator,Mikulski,Maryland,Democratic,House,1977,1987,79
Barbara A. Mikulski,Senator,Mikulski,Maryland,Democratic,Senate,1987,2017,80
Barbara B. Kennelly,Representative,Kennelly,Connecticut,Democratic,House,1981,1999,81
Barbara Boxer,Senator,Boxer,California,Democratic,House,1983,1993,82
Barbara Boxer,Senator,Boxer,California,Democratic,Senate,1993,2017,83
Barbara Comstock,Representative,Comstock,Virginia,Republican,House,2015,2019,84
Barbara Cubin,Representative,Cubin,Wyoming,Republican,House,1995,2009,85
Barbara F. Vucanovich,Representative,Vucanovich,Nevada,Republican,House,1983,1997,86
Barbara Lee,Representative,Lee,California,Democratic,House,1997,2020,87
Barbara-Rose Collins,Representative,Collins,Michigan,Democratic,House,1991,1997,88
