,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
1,1989,1,101,1,Senate,PN128,On the Nomination: Nomination - Baker,1/2,25/1/1989,05:31PM,Nomination Confirmed,"James Addison Baker, III, of Texas, to be Secretary of State",99,0,
2,1989,2,101,1,Senate,PN133,On the Nomination: Nomination - Dole,1/2,25/1/1989,05:49PM,Nomination Confirmed,"Elizabeth Hanford Dole, of Kansas, to be Secretary of Labor",99,0,
3,1989,3,101,1,Senate,PN139,On the Nomination: Nomination - Darman,1/2,25/1/1989,06:02PM,Nomination Confirmed,"Richard G. Darman, of Virginia, to be Director of the Office of Management and Budget",99,0,
4,1989,4,101,1,Senate,PN140,On the Nomination: Nomination - Hills,1/2,31/1/1989,05:00PM,Nomination Confirmed,"Carla Anderson Hills, of California, to be United States Trade Representative, with the rank of Ambassador",100,0,
5,1989,5,101,1,Senate,PN132,On the Nomination: Nomination - Mosbacher,1/2,31/1/1989,05:31PM,Nomination Confirmed,"Robert Adam Mosbacher, of Texas, to be Secretary of Commerce",100,0,
6,1989,6,101,1,Senate,PN136,On the Nomination: Nomination - Skinner,1/2,31/1/1989,05:43PM,Nomination Confirmed,"Samuel Knox Skinner, of Illinois, to be Secretary of Transportation",100,0,
7,1989,7,101,1,Senate,PN130,On the Nomination: Nomination - Lujan,1/2,2/2/1989,04:46PM,Nomination Confirmed,"Manuel Lujan, Jr., of New Mexico, to be Secretary of the Interior",100,0,
8,1989,8,101,1,Senate,PN142,On the Nomination: Nomination - Boskin,1/2,2/2/1989,05:04PM,Nomination Confirmed,"Michael J. Boskin, of California, to be a Member of the Council of Economic Advisers",100,0,
9,1989,9,101,1,Senate,PN135,On the Nomination: Nomination - Kemp,1/2,2/2/1989,05:18PM,Nomination Confirmed,"Jack Kemp, of New York, to be Secretary of Housing and Urban Development",100,0,
10,1989,10,101,1,Senate,PN144,On the Nomination: Nomination - Reilly,1/2,2/2/1989,05:33PM,Nomination Confirmed,"William Kane Reilly, of Virginia, to be Administrator of the Environmental Protection Agency",100,0,
11,1989,11,101,1,Senate,S.J.Res. 7,"On the Amendment S.Amdt. 2: Pressler Amendment No. 2; Disapproving the recommendations of the President relating to rates of pay of certain officers and employees of the Federal Government, and for other purposes.",1/2,2/2/1989,08:01PM,Amendment Agreed to,"Disapproving the recommendations of the President relating to rates of pay of certain officers and employees of the Federal Government, and for other purposes.",95,5,
12,1989,12,101,1,Senate,H.J.Res. 129,"On the Joint Resolution: H.J. Res. 129; A joint resolution disapproving the increases in executive, legislative, and judicial salaries recommended by the President under section 225 of the Federal Salary Act of 1967.",1/2,7/2/1989,03:01PM,Joint Resolution Passed,,94,6,
13,1989,13,101,1,Senate,PN131,On the Nomination: Nomination - Yeutter,1/2,8/2/1989,03:06PM,Nomination Confirmed,"Clayton Yeutter, of Nebraska, to be Secretary of Agriculture",100,0,
14,1989,14,101,1,Senate,S.Res. 66,On the Motion to Table S.Amdt. 7: Amendment No. 7; To strike the provision in the Resolution that would abolish the present spending cap on use of the Frank by Senators.,1/2,28/2/1989,06:11PM,Motion to Table Agreed to,To strike the provision in the Resolution that would abolish the present spending cap on use of the Frank by Senators.,50,47,
15,1989,15,101,1,Senate,S.Res. 66,On the Motion to Table S.Amdt. 8: Amendment No. 8; To reduce funding.,1/2,28/2/1989,06:31PM,Motion to Table Agreed to,To reduce funding.,62,36,
16,1989,16,101,1,Senate,PN134,On the Nomination: Nomination - Sullivan,1/2,1/3/1989,01:00PM,Nomination Confirmed,"Louis W. Sullivan, of Georgia, to be Secretary of Health and Human Services",98,1,
17,1989,17,101,1,Senate,PN137,On the Nomination: Nomination - Watkins,1/2,1/3/1989,01:28PM,Nomination Confirmed,"Admiral James D. Watkins, United States Navy, Retired, of California, to be Secretary of Energy",99,0,
18,1989,18,101,1,Senate,PN138-1,On the Nomination: Nomination - Derwinski,1/2,2/3/1989,06:53PM,Nomination Confirmed,"Edward J. Derwinski, of Illinois, to be Secretary of Veterans Affairs",94,0,
19,1989,19,101,1,Senate,PN143,On the Nomination: Nomination - Pickering,1/2,7/3/1989,04:24PM,Nomination Confirmed,"Thomas R. Pickering, of New Jersey, to be the Representative of the United States of America to the United Nations with the rank and status of Ambassador, and the Representative of the United States of America in the Security Council of the United Nations",99,0,
20,1989,20,101,1,Senate,PN129,On the Nomination: Nomination - Tower,1/2,9/3/1989,04:04PM,Nomination Rejected,"John Goodwin Tower, of Texas, to be Secretary of Defense",47,53,
21,1989,21,101,1,Senate,PN141,On the Nomination: Nomination - Bennett,1/2,9/3/1989,05:03PM,Nomination Confirmed,"William J. Bennett, of North Carolina, to be Director of National Drug Control Policy",97,2,
24,1989,24,101,1,Senate,S. 20,"On Passage of the Bill: S. 20; A bill to amend title 5, United States Code, to strengthen the protections available to Federal employees against prohibited personnel practices, and for other purposes.",1/2,16/3/1989,05:39PM,Bill Passed,"A bill to amend title 5, United States Code, to strengthen the protections available to Federal employees against prohibited personnel practices, and for other purposes.",97,0,
25,1989,25,101,1,Senate,S. 607,On Passage of the Bill: S. 607; A bill to prevent the desecration of the United States Flag.,1/2,16/3/1989,05:56PM,Bill Passed,A bill to prevent the desecration of the United States Flag.,97,0,
26,1989,26,101,1,Senate,PN216,On the Nomination: Nomination - Cheney,1/2,17/3/1989,12:02PM,Nomination Confirmed,"Richard B. Cheney, of Wyoming, to be Secretary of Defense",92,0,
27,1989,27,101,1,Senate,S. 248,On the Motion to Table S.Amdt. 15: Amendment No. 15; To eliminate the reward provisions of the Major Fraud Act Amendments of 1989.,1/2,5/4/1989,06:32PM,Motion to Table Agreed to,To eliminate the reward provisions of the Major Fraud Act Amendments of 1989.,55,43,
28,1989,28,101,1,Senate,S. 248,On Passage of the Bill: S.248; A bill to amend title 18 of the United States Code to provide increased penalties for certain major frauds against the United States.,1/2,5/4/1989,06:53PM,Bill Passed,A bill to amend title 18 of the United States Code to provide increased penalties for certain major frauds against the United States.,82,16,
29,1989,29,101,1,Senate,S. 4,"On the Amendment S.Amdt. 20: Graham Amendment No. 20; A perfecting amendment providing for the ""Minimum Wage Restoration Act of 1989"".",1/2,11/4/1989,04:09PM,Amendment Agreed to,"A perfecting amendment providing for the ""Minimum Wage Restoration Act of 1989"".",61,39,
30,1989,30,101,1,Senate,S. 4,On the Amendment S.Amdt. 21: Hatch Amendment No. 21; To provide a substitute amendment.,1/2,11/4/1989,04:31PM,Amendment Rejected,To provide a substitute amendment.,41,58,
31,1989,31,101,1,Senate,S. 4,"On the Amendment S.Amdt. 22: Armstrong Amendment No. 22; To amend title II of the Social Security Act to increase the monthly earnings test limit, to express the sense of the Congress regarding the phase-out and elimination of such test by the year 2000 for individuals who have attained retirement age, and for other purposes.",1/2,12/4/1989,10:52AM,Amendment Agreed to,"To amend title II of the Social Security Act to increase the monthly earnings test limit, to express the sense of the Congress regarding the phase-out and elimination of such test by the year 2000 for individuals who have attained retirement age, and for other purposes.",86,11,
32,1989,32,101,1,Senate,S. 4,On the Amendment S.Amdt. 24: Lott Amendment No. 24; Expressing the sense of the Senate regarding repeal of section 89 of the Internal Revenue Code.,1/2,12/4/1989,11:49AM,Amendment Agreed to,Expressing the sense of the Senate regarding repeal of section 89 of the Internal Revenue Code.,98,0,
33,1989,33,101,1,Senate,S. 4,On the Amendment S.Amdt. 27: Boschwitz Amendment No. 27; To express the sense of the Senate regarding working poor families.,1/2,12/4/1989,01:30PM,Amendment Agreed to,To express the sense of the Senate regarding working poor families.,97,1,
34,1989,34,101,1,Senate,S. 4,On the Motion S.Amdt. 28: Motion To Waive CBA re: Amendment No. 28; To delay for 1 year the effective date for section 89 of the Internal Revenue Code of 1986.,3/5,12/4/1989,02:13PM,Motion Rejected,To delay for 1 year the effective date for section 89 of the Internal Revenue Code of 1986.,56,42,
35,1989,35,101,1,Senate,S. 4,"On the Amendment S.Amdt. 30: Nickles Amendment No. 30; Expressing the sense of the Senate that the Finance Committee review PL 100-360, the Medicare Catastrophic Coverage Act of 1988, specifically the financing mechanism.",1/2,12/4/1989,03:24PM,Amendment Agreed to,"Expressing the sense of the Senate that the Finance Committee review PL 100-360, the Medicare Catastrophic Coverage Act of 1988, specifically the financing mechanism.",97,2,
36,1989,36,101,1,Senate,S. 4,"On the Motion to Table S.Amdt. 33: Nickles Amendment No. 33; To provide that the Davis-Bacon Act shall apply only to a contractor, or subcontractor, whose annual gross volume of sales made or business done is not less than $500,001.",1/2,12/4/1989,05:52PM,Motion to Table Agreed to,"To provide that the Davis-Bacon Act shall apply only to a contractor, or subcontractor, whose annual gross volume of sales made or business done is not less than $500,001.",61,38,
37,1989,37,101,1,Senate,S. 4,On the Motion to Table S.Amdt. 39: Motion To Table Wallop Amendment No. 39; To amend the Fair Labor Standards Act to permit an employee to take compensatory time off in lieu of compensation for overtime hours.,1/2,12/4/1989,06:48PM,Motion to Table Agreed to,To amend the Fair Labor Standards Act to permit an employee to take compensatory time off in lieu of compensation for overtime hours.,66,33,
38,1989,38,101,1,Senate,S. 4,"On the Motion to Recommit: Motion To Recommit S. 4; A bill to amend the Fair Labor Standards Act of 1938 to restore the minimum wage to a fair and equitable rate, and for other purposes.",1/2,12/4/1989,07:24PM,Motion to Recommit Rejected,"A bill to amend the Fair Labor Standards Act of 1938 to restore the minimum wage to a fair and equitable rate, and for other purposes.",43,56,
39,1989,39,101,1,Senate,H.R. 2,"On Passage of the Bill: H.R. 2; A bill to amend the Fair Labor Standards Act of 1938 to restore the minimum wage to a fair and equitable rate, and for other purposes.",1/2,12/4/1989,07:42PM,Bill Passed,"A bill to amend the Fair Labor Standards Act of 1938 to restore the minimum wage to a fair and equitable rate, and for other purposes.",62,37,
40,1989,40,101,1,Senate,S. 760,"On the Motion to Table S.Amdt. 43: Motion To Table Amendment No. 43; To help facilitate the purposes of the Act by expanding its definition of ""humanitarian assistance"".",1/2,13/4/1989,03:18PM,Motion to Table Agreed to,"To help facilitate the purposes of the Act by expanding its definition of ""humanitarian assistance"".",70,28,
41,1989,41,101,1,Senate,S. 760,"On the Motion to Table S.Amdt. 44: Motion To Table Amendment No. 44; To provide that not less than $1,000,000 shall be made available only for the promotion of democratic activities in Nicaragua leading to a transition to democracy.",1/2,13/4/1989,04:47PM,Motion to Table Agreed to,"To provide that not less than $1,000,000 shall be made available only for the promotion of democratic activities in Nicaragua leading to a transition to democracy.",72,26,
42,1989,42,101,1,Senate,S. 760,On the Motion to Table S.Amdt. 45: Motion To Table Amendment No. 45; To provide non-lethal assistance to the Nicaraguan democratic resistance.,1/2,13/4/1989,06:16PM,Motion to Table Agreed to,To provide non-lethal assistance to the Nicaraguan democratic resistance.,73,25,
43,1989,43,101,1,Senate,S. 760,"On the Motion to Table S.Amdt. 46: Motion To Table Amendment No. 46; To assure full implementation of the Bipartisan Accord on Central America of March 24, 1989.",1/2,13/4/1989,08:35PM,Motion to Table Agreed to,"To assure full implementation of the Bipartisan Accord on Central America of March 24, 1989.",98,0,
44,1989,44,101,1,Senate,H.R. 1750,"On Passage of the Bill: H.R. 1750; A bill to implement the Bipartisan Accord on Central America of March 24, 1989.",1/2,13/4/1989,08:49PM,Bill Passed,"A bill to implement the Bipartisan Accord on Central America of March 24, 1989.",89,9,
