,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
1,1990,1,101,2,Senate,H.R. 2712,"On Overriding the Veto: Veto Override; A bill to facilitate the adjustment or change of status of Chinese nationals in the United States by waiving the 2-year foreign residence requirement for ""J"" nonimmigrants and by treating nonimmigrants, whose departure has been deferred by the Attorney General, as remaining in legal nonimmigrant status for purposes of adjustment or change of status.",2/3,25/1/1990,02:31PM,Veto Sustained,"A bill to facilitate the adjustment or change of status of Chinese nationals in the United States by waiving the 2-year foreign residence requirement for ""J"" nonimmigrants and by treating nonimmigrants, whose departure has been deferred by the Attorney General, as remaining in legal nonimmigrant status for purposes of adjustment or change of status.",62,37,1
2,1990,2,101,2,Senate,H.R. 3792,"On Passage of the Bill: H.R.3792; A bill to authorize appropriations for fiscal year 1990 and 1991 for the Department of State, and for other purposes.",1/2,30/1/1990,05:02PM,Bill Passed,"A bill to authorize appropriations for fiscal year 1990 and 1991 for the Department of State, and for other purposes.",98,0,2
3,1990,3,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1219: Chafee Amdt. No. 1219; To amend title VII to control methyl chloroform pollution.,1/2,31/1/1990,05:30PM,Amendment Agreed to,To amend title VII to control methyl chloroform pollution.,95,2,3
4,1990,4,101,2,Senate,S. 1310,"On Passage of the Bill: S.1310; A bill to eliminate illiteracy by the year 2000, to strengthen and coordinate literacy programs, and for other purposes.",1/2,6/2/1990,11:59AM,Bill Passed,"A bill to eliminate illiteracy by the year 2000, to strengthen and coordinate literacy programs, and for other purposes.",99,0,1
5,1990,5,101,2,Senate,S. 169,"On Passage of the Bill: S. 169; A bill to amend the National Science and Technology Policy, Organization, and Priorities Act of 1976 in order to provide for improved coordination of national scientific research efforts and to provide for a national plan to improve scientific understanding of the Earth system and the effect of changes in that system on climate and human well-being.",1/2,6/2/1990,02:16PM,Bill Passed,"A bill to amend the National Science and Technology Policy, Organization, and Priorities Act of 1976 in order to provide for improved coordination of national scientific research efforts and to provide for a national plan to improve scientific understanding of the Earth system and the effect of changes in that system on climate and human well-being.",100,0,
6,1990,6,101,2,Senate,S. 695,On the Amendment S.Amdt. 1236: Helms Amdt. No. 1236; To strike title 10.,1/2,6/2/1990,05:25PM,Amendment Rejected,To strike title 10.,35,64,1
7,1990,7,101,2,Senate,S. 695,On the Motion to Table S.Amdt. 1241: Motion to Table Amdt. No. 1241; To authorize funds through fiscal year 1993 to assist States in establishing competency standards for teachers.,1/2,6/2/1990,06:16PM,Motion to Table Agreed to,To authorize funds through fiscal year 1993 to assist States in establishing competency standards for teachers.,60,37,3
8,1990,8,101,2,Senate,S. 695,On the Amendment S.Amdt. 1239: Kassebaum Amdt. No. 1239; To establish a Voluntary Teacher Assessment and Certification Research and Development Program.,1/2,6/2/1990,06:42PM,Amendment Rejected,To establish a Voluntary Teacher Assessment and Certification Research and Development Program.,40,57,3
9,1990,9,101,2,Senate,S. 695,On the Motion to Table S.Amdt. 1245: Motion to Table Amdt. No. 1245; To establish a Healthy Start Demonstration Grant program.,1/2,7/2/1990,11:33AM,Motion to Table Agreed to,To establish a Healthy Start Demonstration Grant program.,51,49,
10,1990,10,101,2,Senate,S. 695,"On Passage of the Bill: S. 695; A bill to promote excellence in American education by recognizing and rewarding schools, teachers, and students for their outstanding achievements; enhancing parental choice; encouraging the study of science, mathematics, and engineering, and for other purposes.",1/2,7/2/1990,03:01PM,Bill Passed,"A bill to promote excellence in American education by recognizing and rewarding schools, teachers, and students for their outstanding achievements; enhancing parental choice; encouraging the study of science, mathematics, and engineering, and for other purposes.",92,8,
11,1990,11,101,2,Senate,S. 419,On the Amendment S.Amdt. 1250: Hatch Amdt. No. 1250; To prohibit the use of funds to promote or encourage homosexuality.,1/2,8/2/1990,02:15PM,Amendment Agreed to,To prohibit the use of funds to promote or encourage homosexuality.,96,0,4
12,1990,12,101,2,Senate,S. 419,On the Amendment S.Amdt. 1251: Helms Amdt. No. 1251; To provide that it is the sense of the Senate that homosexuality should not be promoted in any manner by the Federal or State government.,1/2,8/2/1990,03:06PM,Amendment Rejected,To provide that it is the sense of the Senate that homosexuality should not be promoted in any manner by the Federal or State government.,19,77,4
13,1990,13,101,2,Senate,H.R. 1048,"On Passage of the Bill: Final Passage -- H.R. 1048; A bill to provide for the acquisition and publication of data about crimes that manifest prejudice based on race, religion, homosexuality or heterosexuality, or ethnicity.",1/2,8/2/1990,03:28PM,Bill Passed,"A bill to provide for the acquisition and publication of data about crimes that manifest prejudice based on race, religion, homosexuality or heterosexuality, or ethnicity.",92,4,4
14,1990,14,101,2,Senate,Treaty Doc. 101-2,"On the Resolution of Ratification: Resolution of Ratification: ILO Convention; The Convention (No. 160) Concerning Labor Statistics, adopted by the International Labor Conference at Geneva on June 25, 1985",2/3,20/2/1990,03:16PM,Resolution of Ratification Agreed to,"The Convention (No. 160) Concerning Labor Statistics, adopted by the International Labor Conference at Geneva on June 25, 1985",94,0,6
15,1990,15,101,2,Senate,H.R. 2281,On Passage of the Bill: H.R.2281; A bill to amend the Elementary and Secondary Education Act of 1965 to extend the authorization for certain school dropout demonstration programs.,1/2,20/2/1990,04:33PM,Bill Passed,A bill to amend the Elementary and Secondary Education Act of 1965 to extend the authorization for certain school dropout demonstration programs.,94,0,6
16,1990,16,101,2,Senate,S.J.Res. 212,"On the Cloture Motion: Cloture Motion on S.J.Res. 212; A joint resolution designating April 24, 1990, as ""National Day of Remembrance of the Seventy-Fifth Anniversary of the Armenian Genocide of 1915-1923"".",3/5,22/2/1990,01:46PM,Cloture Motion Rejected,"A joint resolution designating April 24, 1990, as ""National Day of Remembrance of the Seventy-Fifth Anniversary of the Armenian Genocide of 1915-1923"".",49,49,2
17,1990,17,101,2,Senate,S.J.Res. 212,"On the Cloture Motion: Cloture Motion; A joint resolution designating April 24, 1990, as ""National Day of Remembrance of the Seventy-Fifth Anniversary of the Armenian Genocide of 1915-1923"".",3/5,27/2/1990,04:57PM,Cloture Motion Rejected,"A joint resolution designating April 24, 1990, as ""National Day of Remembrance of the Seventy-Fifth Anniversary of the Armenian Genocide of 1915-1923"".",48,51,1
18,1990,18,101,2,Senate,S. 1430,On the Amendment S.Amdt. 1262: Armstrong Amdt. No. 1262; To protect religious organizations from discrimination and to allow those religious organizations that choose to participate in programs contained in the Act to maintain religious identity.,1/2,27/2/1990,07:07PM,Amendment Agreed to,To protect religious organizations from discrimination and to allow those religious organizations that choose to participate in programs contained in the Act to maintain religious identity.,91,3,6
19,1990,19,101,2,Senate,S. 1430,On the Motion to Table S.Amdt. 1267: Motion to Table Amdt. No. 1267; To make the benefits paid under the bill comparable to benefits paid to persons for service in the Armed Forces of the United States.,1/2,27/2/1990,07:29PM,Motion to Table Agreed to,To make the benefits paid under the bill comparable to benefits paid to persons for service in the Armed Forces of the United States.,54,41,5
20,1990,20,101,2,Senate,S. 1430,On the Motion to Table S.Amdt. 1269: Motion to Table Amdt. No. 1269; To provide certain protections from civil liability to volunteers and nonprofit corporations under section 501(c) of Internal Revenue Code of 1986.,1/2,28/2/1990,01:28PM,Motion to Table Agreed to,To provide certain protections from civil liability to volunteers and nonprofit corporations under section 501(c) of Internal Revenue Code of 1986.,65,32,3
21,1990,21,101,2,Senate,S. 1430,On the Amendment S.Amdt. 1274: Sasser Amdt. No. 1274; To state the sense of the Senate on the uses of the peace dividend.,1/2,28/2/1990,04:39PM,Amendment Agreed to,To state the sense of the Senate on the uses of the peace dividend.,79,19,2
22,1990,22,101,2,Senate,S. 1430,"On the Amendment S.Amdt. 1270: Gramm Amdt. No. 1270; To express the sense of the Senate regarding the use of the so-called ""peace dividend"".",1/2,28/2/1990,04:59PM,Amendment Rejected,"To express the sense of the Senate regarding the use of the so-called ""peace dividend"".",48,50,2
23,1990,23,101,2,Senate,S. 1430,On the Motion to Table S.Amdt. 1282: Motion to Table Amdt. No. 1282; In the nature of a substitute.,1/2,1/3/1990,12:50PM,Motion to Table Failed,In the nature of a substitute.,47,50,3
24,1990,24,101,2,Senate,S. 1430,On the Amendment S.Amdt. 1282: Kennedy Amdt. No. 1282; In the nature of a substitute.,1/2,1/3/1990,01:45PM,Amendment Agreed to,In the nature of a substitute.,97,1,2
25,1990,25,101,2,Senate,S. 1430,"On the Motion to Table S.Amdt. 1284: Motion to Table Amdt. No. 1284; To terminate the provisions of the Act on September 30, 1992.",1/2,1/3/1990,02:55PM,Motion to Table Agreed to,"To terminate the provisions of the Act on September 30, 1992.",58,40,2
26,1990,26,101,2,Senate,S. 1430,On the Amendment S.Amdt. 1290: Humphrey Amdt. No. 1290; To condemn continued human rights repression in China.,1/2,1/3/1990,06:33PM,Amendment Agreed to,To condemn continued human rights repression in China.,79,18,3
27,1990,27,101,2,Senate,S. 1430,"On Passage of the Bill: S. 1430; A bill to enhance national and community service, and for other purposes.",1/2,1/3/1990,08:01PM,Bill Passed,"A bill to enhance national and community service, and for other purposes.",78,19,3
28,1990,28,101,2,Senate,S.Res. 255,"On the Resolution: S. Res. 255; A resolution calling on baseball owners, players, and their negotiators to settle their differences promptly and begin a complete spring training and regular season as soon as possible.",1/2,1/3/1990,08:22PM,Resolution Agreed to,"A resolution calling on baseball owners, players, and their negotiators to settle their differences promptly and begin a complete spring training and regular season as soon as possible.",82,15,3
29,1990,29,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1297: Baucus Amdt. No. 1297; Relating to the establishment of emmission standards for sources of ammonia.,1/2,6/3/1990,05:17PM,Amendment Agreed to,Relating to the establishment of emmission standards for sources of ammonia.,97,0,3
30,1990,30,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1302: Motion to Table Amdt. No. 1302; To delete certain provisions relating to NRC-Licensed Facilities.,1/2,7/3/1990,04:45PM,Motion to Table Failed,To delete certain provisions relating to NRC-Licensed Facilities.,36,61,3
